company,location,us_state,country,continent,total_laid_off,date_layoffs,pct_workforce,industry,stage,funds_raised_mil,year,layoff_year,layoff_month,layoff_quarter,company_size_category,department,severance_weeks,ai_related,reason,data_source
Swiggy,Bengaluru,Karnataka,India,Asia,400,2024-01-25,7.0,Food,Unknown,4.0,2024,2024,2024-01,2024-Q1,Mid-size (100-999),,,,,main
Kiwi.com,Brno,non,Czech Republic,Europe,216,2024-01-30,18.0,Travel,Unknown,107.0,2024,2024,2024-01,2024-Q1,Mid-size (100-999),,,,,main
Top Hat,Toronto,Ontario,Canada,North America,35,2024-02-02,7.0,Education,Series E,234.0,2024,2024,2024-02,2024-Q1,Small (<100),,,,,main
Otovo,Oslo,non,Norway,Europe,65,2024-02-08,15.0,Energy,Post-IPO,247.0,2024,2024,2024-02,2024-Q1,Small (<100),,,,,main
MessageBird,Amsterdam,non,Netherlands,Europe,90,2024-03-05,20.0,Other,Series C,1.0,2024,2024,2024-03,2024-Q1,Small (<100),,,,,main
Identiq,Tel Aviv,non,Israel,Asia,20,2024-04-01,44.0,Security,Series A,52.0,2024,2024,2024-04,2024-Q2,Small (<100),,,,,main
Byju's,Bengaluru,Karnataka,India,Asia,500,2024-04-02,3.0,Education,Private Equity,,2024,2024,2024-04,2024-Q2,Mid-size (100-999),,,,,main
PrepLadder,New Delhi,Delhi,India,Asia,145,2024-05-08,25.0,Education,Unknown,,2024,2024,2024-05,2024-Q2,Mid-size (100-999),,,,,main
Simpl,Bengaluru,Karnataka,India,Asia,100,2024-05-08,15.0,Finance,Series B,71.0,2024,2024,2024-05,2024-Q2,Mid-size (100-999),,,,,main
Satellogic,Montevideo,non,Uruquay,South America,34,2024-05-24,13.0,Aerospace,Post-IPO,424.0,2024,2024,2024-05,2024-Q2,Small (<100),,,,,main
Ualá,Buenos Aires,non,Argentina,South America,140,2024-05-28,9.0,Fintech,Unknown,,2024,2024,2024-05,2024-Q2,Mid-size (100-999),,,,,main
Walnut,Tel Aviv,non,Israel,Asia,15,2024-05-29,20.0,Sales,Series B,56.0,2024,2024,2024-05,2024-Q2,Small (<100),,,,,main
Aleph Farms,Tel Aviv,non,Israel,Asia,30,2024-06-05,30.0,Food,Unknown,,2024,2024,2024-06,2024-Q2,Small (<100),,,,,main
EverC,Tel Aviv,non,Israel,Asia,16,2024-07-17,10.0,Security,Unknown,61.0,2024,2024,2024-07,2024-Q3,Small (<100),,,,,main
Cohere,Toronto,Ontario,Canada,North America,20,2024-07-23,5.0,AI,Series D,935.0,2024,2024,2024-07,2024-Q3,Small (<100),,,,,main
Inuitive,Ra'anana,non,Israel,Asia,16,2024-08-15,20.0,Manufacturing,Unknown,23.0,2024,2024,2024-08,2024-Q3,Small (<100),,,,,main
Paper,Montreal,Quebec,Canada,North America,81,2024-08-16,45.0,Education,Series D,389.0,2024,2024,2024-08,2024-Q3,Small (<100),,,,,main
Just Eat,Amsterdam,non,Netherlands,Europe,300,2024-11-07,2.0,Food,Acquired,12.0,2024,2024,2024-11,2024-Q4,Mid-size (100-999),,,,,main
D-ID,Tel Aviv,non,Israel,Asia,22,2025-03-10,25.0,AI,Series B,48.0,2025,2025,2025-03,2025-Q1,Small (<100),,,,,main
Otorio,Tel Aviv,non,Israel,Asia,45,2025-03-17,56.0,Security,Acquired,,2025,2025,2025-03,2025-Q1,Small (<100),,,,,main
Zupee,Gurugram,Haryana,India,Asia,170,2025-09-11,30.0,Entertainment Providers,,,2025,2025,2025-09,2025-Q3,Mid-size (100-999),,,,,main
